timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-07-07T18:51:47,gpt2_test,a57856fd-ff2a-4b28-a649-c8aeef5cfe60,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,86.24930814900108,,,,,10.0,,,0.000187809590275,,United Kingdom,GBR,england,,,macOS-13.7.6-x86_64-i386-64bit,3.11.4,3.0.2,4,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,1,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,-1.9442,52.4425,8.0,machine,N,1.0
2025-07-08T11:06:36,gpt2_test,0ec3d37d-e878-44f0-98a9-97d431f5cce3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,101.92914858899984,,,,,10.0,,,0.0002240298750972,,United Kingdom,GBR,,,,macOS-13.7.6-x86_64-i386-64bit,3.11.4,3.0.2,4,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,1,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,-0.1224,51.4964,8.0,machine,N,1.0
2025-07-09T15:17:39,gpt2_test,482ffb27-3f08-474d-9b8f-92e8889bca6e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,98.11617014900004,,,,,10.0,,,0.0002131406670305,,United Kingdom,GBR,,,,macOS-13.7.6-x86_64-i386-64bit,3.11.4,3.0.2,4,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,1,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,-0.1224,51.4964,8.0,machine,N,1.0
2025-07-09T15:41:35,gpt2_test,0208bb21-cc92-4af4-9f8d-eedd8949647c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,100.76221236499987,,,,,10.0,,,0.00022033713280555578,,United Kingdom,GBR,,,,macOS-13.7.6-x86_64-i386-64bit,3.11.4,3.0.2,4,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,1,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,-0.1224,51.4964,8.0,machine,N,1.0
